Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 13:01:51 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ,%Weights,%Spec. Weights,X Dimension,Y Dimension,Type,Size type,      Area,hoop Dist
   0,      0.2,              1,       1e-08,       1e-08,    4,         3,        0.2,        0
   1,      0.8,              1,       1e-08,       1e-08,    2,         0,        0.8,        0
Pixels Per minimum Size:101
Factor [pixelsPerMinimumCircle / minimumSize]:1.01e+10
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[500x500]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No,Percolate Y[1]/N[0], Process Time, Setup Time   ,% Area Comp[0]  ,% Area Comp[1],Electric Conductivity, Thermal Conductivity, Young Modulus, Poisson Ratio ,Total Conductive Paths,Mean Real Path Length,Current Electric Conductivity
     96,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.47585836,   3.47585836,5429701.45834930,   0.08687522, 110.00000000, 768.58181818,   0.06329372
     97,                  1,0.04300000,     0.00800000            ,1.00000000            ,0.00000000,   3.62645382,   3.62645382,5179418.37728077,   0.08287069, 105.00000000, 769.68571429,   0.05790781
     98,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.37106624,   3.37106624,5559850.01149201,   0.08895760, 113.00000000, 763.26548673,   0.06704110
     99,                  1,0.04600000,     0.00800000            ,1.00000000            ,0.00000000,   3.35461216,   3.35461216,5561587.79747716,   0.08898540, 113.00000000, 762.68141593,   0.06736993
    100,                  1,0.04300000,     0.00800000            ,1.00000000            ,0.00000000,   3.59769525,   3.59769525,5169947.36513927,   0.08271916, 105.00000000, 764.70476190,   0.05837070
    101,                  1,0.04500000,     0.00900000            ,1.00000000            ,0.00000000,   3.39111550,   3.39111550,5516196.59994775,   0.08825914, 112.00000000, 762.14285714,   0.06605496
    102,                  1,0.04400000,     0.00800000            ,1.00000000            ,0.00000000,   3.49559098,   3.49559098,5364666.83791964,   0.08583467, 109.00000000, 762.13761468,   0.06236428
    103,                  1,0.04600000,     0.00800000            ,1.00000000            ,0.00000000,   3.44749138,   3.44749138,5362564.50950800,   0.08580103, 109.00000000, 761.64220183,   0.06323439
    104,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.47323438,   3.47323438,5421560.85241551,   0.08674497, 110.00000000, 764.60909091,   0.06334154
    105,                  1,0.04500000,     0.00900000            ,1.00000000            ,0.00000000,   3.37901215,   3.37901215,5453940.83389673,   0.08726305, 111.00000000, 756.96396396,   0.06569967
    106,                  1,0.04200000,     0.00800000            ,1.00000000            ,0.00000000,   3.55634132,   3.55634132,5156450.47911404,   0.08250321, 105.00000000, 761.63809524,   0.05904945
    107,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.48556430,   3.48556430,5373120.92818706,   0.08596993, 109.00000000, 763.55963303,   0.06254367
    108,                  1,0.04200000,     0.00800000            ,1.00000000            ,0.00000000,   3.64668308,   3.64668308,5124787.21737359,   0.08199659, 104.00000000, 764.69230769,   0.05703813
    109,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.32159212,   3.32159212,5705539.66388993,   0.09128863, 116.00000000, 762.37931034,   0.06984602
    110,                  1,0.04500000,     0.00900000            ,1.00000000            ,0.00000000,   3.39333718,   3.39333718,5242301.52360769,   0.08387682, 107.00000000, 755.02803738,   0.06306476
    111,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.54008950,   3.54008950,5337465.68830320,   0.08539945, 108.00000000, 770.37962963,   0.06101541
    112,                  1,0.04400000,     0.00800000            ,1.00000000            ,0.00000000,   3.40752137,   3.40752137,5461163.76749040,   0.08737862, 111.00000000, 761.80180180,   0.06514999
    113,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.40493684,   3.40493684,5407253.79152329,   0.08651606, 110.00000000, 758.89090909,   0.06461206
    114,                  1,0.04700000,     0.00800000            ,1.00000000            ,0.00000000,   3.32847285,   3.32847285,5665221.76815235,   0.09064355, 115.00000000, 764.66956522,   0.06910076
    115,                  1,0.04500000,     0.00900000            ,1.00000000            ,0.00000000,   3.39654139,   3.39654139,5353813.81312276,   0.08566102, 109.00000000, 759.20183486,   0.06418294
    116,                  1,0.04300000,     0.00900000            ,1.00000000            ,0.00000000,   3.51036534,   3.51036534,5391971.75989930,   0.08627155, 109.00000000, 771.42201835,   0.06210180
    117,                  1,0.04400000,     0.00800000            ,1.00000000            ,0.00000000,   3.45424848,   3.45424848,5313639.44576422,   0.08501823, 108.00000000, 759.67592593,   0.06253169
    118,                  1,0.04600000,     0.00900000            ,1.00000000            ,0.00000000,   3.34636482,   3.34636482,5508822.70614097,   0.08814116, 112.00000000, 761.13392857,   0.06693831
    119,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.41521362,   3.41521362,5470361.00602182,   0.08752577, 111.00000000, 763.33333333,   0.06500325
    120,                  1,0.04600000,     0.00800000            ,1.00000000            ,0.00000000,   3.29910146,   3.29910146,5749845.26116863,   0.09199752, 117.00000000, 758.87179487,   0.07092840
    121,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.35053530,   3.35053530,5437639.59380733,   0.08700223, 111.00000000, 753.72072072,   0.06625807
    122,                  1,0.04600000,     0.00900000            ,1.00000000            ,0.00000000,   3.27695885,   3.27695885,5653538.87226315,   0.09045662, 115.00000000, 757.03478261,   0.07018703
